run_id,ts,mode,ai_p50_ms,ai_p95_ms,ai_errors,search_p50_ms,search_p95_ms,search_errors
1,2026-02-21T22:07:22+00:00,mock_ai,1.095,1.406,0,5.303,9.355,0
2,2026-02-21T22:10:23+00:00,mock_ai,1.143,1.398,0,4.614,7.78,0
